#{"t_start": 1573455918.937174, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-259.761642,192,84.68252
-400.132806,402,85.863255
-338.113767,188,86.274319
-67.872852,208,86.710932
-365.752606,366,87.567158
-318.550589,249,88.13788
11.278912,123,88.378029
-287.838274,215,88.855022
74.848992,1000,93.285693
26.614684,1000,97.126312
-96.4315,155,97.417576
85.189026,1000,101.785309
-312.102602,264,102.344786
-390.848395,190,102.705477
-542.724332,334,103.466915
-331.913586,474,105.021924
2.893701,163,105.334342
17.580576,221,105.81836
-192.381581,175,106.142961
-205.018699,173,106.485302
-17.513409,215,106.924698
-243.65779,206,107.345509
-242.461053,332,108.107446
-499.911496,368,108.984673
-318.173395,236,109.4932
25.364505,172,109.811584
-301.661733,203,110.245202
-78.281841,216,110.675353
-43.273558,442,111.981623
-380.93801,327,112.734435
86.750235,169,113.093669
-530.376859,235,113.600142
-217.525866,256,114.155476
-184.825031,595,116.080189
-65.563784,414,117.237995
-24.496532,307,117.94281
116.038853,1000,121.143911
136.147133,1000,124.635161
-263.989613,500,125.903101
-44.544158,344,126.663305
-585.036961,288,127.285723
-364.23437,512,128.650033
-196.963249,293,129.354215
96.051704,1000,132.293842
-226.641796,260,132.917426
-47.593016,471,134.245213
-208.086707,513,135.730055
18.16314,416,136.804421
-366.715427,337,137.594913
-216.51443,415,138.540612
-84.835803,610,140.820304
-23.148568,362,141.661558
48.522428,1000,145.657671
-294.694889,615,147.502017
-137.448801,1000,151.068871
-71.319561,487,152.390229
81.720204,1000,157.587115
136.255811,1000,160.623291
28.581897,387,161.717666
150.441956,1000,165.638478
-299.928991,444,166.847464
-334.957269,497,168.25911
-60.808008,1000,173.321263
-402.902549,571,175.098669
-436.172466,462,176.391406
-945.200187,829,179.18898
-430.69566,1000,183.510474
-52.216701,676,185.730382
-45.492808,871,188.329866
-149.142428,1000,193.487076
-222.814276,1000,197.135788
-25.627586,1000,201.198545
-60.026409,1000,206.212297
-248.082141,1000,210.525029
-51.121705,1000,214.388908
-149.076675,1000,217.862166
-112.236669,1000,221.531773
-143.161159,1000,226.058636
-80.844604,1000,229.731715
-220.333372,1000,232.96285
-149.1778,1000,236.069061
-170.879372,1000,240.086784
-81.707821,1000,243.533057
-113.523151,1000,247.117261
-39.512785,1000,249.885641
-61.78656,1000,253.389342
-61.571459,1000,257.236289
-50.143962,1000,260.702985
-69.012091,1000,264.125888
-98.745459,1000,268.90201
-73.412616,1000,272.841655
-55.514699,1000,276.460632
-19.624268,1000,281.258041
-18.638105,1000,284.897177
92.429742,1000,289.400796
-67.152138,1000,294.347169
-110.154809,1000,299.233695
-32.712063,1000,302.985322
22.743749,1000,307.34659
12.319864,1000,313.008853
41.625756,1000,318.09307
-32.723949,1000,322.852083
-68.133552,1000,327.134611
-61.824889,1000,330.987285
-33.229598,1000,335.93312
-76.235176,1000,341.266092
-23.333749,1000,345.749344
34.865019,1000,351.076919
-51.375286,664,353.438222
71.444904,1000,357.657012
76.139767,1000,362.352156
134.410885,592,364.266207
76.895452,1000,367.306639
104.306638,1000,371.247943
42.192775,1000,376.016165
106.34574,1000,380.142536
-28.890208,436,381.346674
95.531874,1000,384.702687
211.58369,474,386.019454
136.172771,1000,388.767904
-42.80563,445,389.955179
76.983737,1000,393.984821
-20.099209,462,395.083279
53.818391,1000,399.462885
-2.736647,304,400.098187
89.242316,1000,404.530135
2.337569,468,405.661114
102.283322,1000,409.943756
137.449565,1000,413.321658
139.987317,1000,416.713253
193.180036,441,417.866111
189.374589,386,418.964039
109.008511,1000,421.828717
7.726241,346,422.512648
195.381793,513,424.218577
124.66572,1000,427.463618
120.878044,1000,430.732224
95.527215,1000,434.03846
127.290483,1000,437.702013
205.114811,314,438.437527
206.381529,306,439.145961
197.18709,330,440.035251
-10.093804,338,440.884201
125.691208,1000,443.700987
223.776411,341,444.624119
85.0205,1000,447.844671
99.813114,1000,450.721895
203.753485,361,451.609173
101.329802,1000,454.368945
213.156912,419,455.416561
158.340482,532,456.92032
-60.132412,362,457.882105
154.520213,495,459.241546
218.427707,381,460.124133
208.177043,377,461.086518
-0.629187,320,461.781619
36.772544,262,462.33699
136.688252,1000,465.196382
128.438181,1000,468.283537
130.078973,1000,471.960647
189.297635,359,472.814971
195.962461,313,473.585448
208.94726,464,474.897486
125.789478,1000,478.499758
-149.842948,412,479.544518
1.952617,281,480.08637
138.499498,1000,483.164195
17.015859,207,483.577304
194.806654,368,484.522517
201.008063,283,485.132385
130.422789,1000,488.60252
135.852714,1000,492.303626
109.949966,1000,495.99022
92.476325,1000,500.098014
163.379588,368,500.918699
246.703042,413,501.842666
35.911445,304,502.550217
224.050584,344,503.189963
6.509787,290,503.809752
197.12513,414,504.961765
5.243271,291,505.559051
225.393796,346,506.364492
178.057994,692,508.417452
-64.384596,405,509.320546
144.162274,1000,512.578117
117.775979,1000,516.000294
83.589633,1000,518.986161
119.080961,1000,522.216529
101.665774,1000,525.575259
229.381193,378,526.486601
88.565736,1000,529.772898
94.811926,1000,533.69036
2.648473,322,534.469009
208.300328,325,535.310981
242.563427,455,536.596713
162.459748,404,537.456338
-33.876321,239,537.95619
136.082045,1000,540.842519
141.666794,1000,544.048036
198.657921,310,544.786104
85.788563,1000,548.042756
212.530152,391,548.84723
2.849438,263,549.357897
130.193513,1000,552.171461
111.075166,1000,555.185494
179.111876,308,555.879759
148.417972,1000,559.563563
2.923189,276,560.138298
188.119036,312,560.805426
-45.18958,211,561.205139
-68.162404,241,561.638938
-151.466127,346,562.34239
163.129191,436,563.359533
117.124945,1000,566.909984
136.824758,1000,569.972033
98.379428,1000,573.128659
-36.816952,230,573.578972
-8.823882,272,574.124256
-12.133251,265,574.694687
130.655024,1000,578.654098
192.58508,297,579.225163
207.354722,403,580.205632
198.027132,345,580.962311
126.227813,1000,584.822907
91.19894,1000,587.730599
130.098273,1000,590.457407
207.612496,374,591.427652
217.845881,284,592.100728
152.08466,684,594.316882
103.159485,1000,597.457785
124.220668,1000,600.110997
97.874609,1000,603.679027
132.968046,1000,606.597246
149.825596,1000,609.001639
141.154651,1000,612.477641
122.005956,1000,615.748889
165.892708,524,616.889142
169.624354,358,617.752617
123.504067,1000,621.408669
114.587477,1000,624.231809
124.54488,1000,626.897406
121.145296,1000,630.075485
-1.546138,279,630.61911
128.832389,1000,634.203413
223.89515,467,635.402433
138.04787,1000,638.085616
162.848634,1000,640.824899
199.646623,292,641.492052
125.271812,1000,644.496571
-31.843444,266,645.06544
186.578617,333,645.771454
234.657998,330,646.557593
228.859593,343,647.435241
234.567729,350,648.179045
101.546409,1000,651.326164
-15.242864,260,651.829576
113.817044,1000,654.4634
130.778598,1000,657.340553
-15.185113,228,657.803523
127.694142,1000,661.408942
102.373224,1000,664.680946
-3.943641,292,665.287073
-35.145577,327,666.025933
203.513287,355,666.763331
132.303171,1000,670.352661
123.482887,1000,673.112442
123.108694,1000,675.696648
211.030535,310,676.302288
210.111081,339,677.024435
-3.387488,214,677.464215
101.496454,1000,680.372839
30.165022,229,680.819637
-23.916372,217,681.246969
161.95562,1000,684.289441
50.003706,207,684.674146
5.231911,278,685.246891
203.152892,304,685.936419
245.161686,331,686.813485
216.15476,461,688.171581
182.847836,323,688.941341
194.228828,311,689.724191
135.400164,1000,692.546458
89.607578,1000,696.071669
