#{"t_start": 1573455938.910614, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-479.449003,86,65.573772
-703.504284,81,65.717909
-542.566347,70,65.843307
-355.982671,110,66.052802
-619.529045,152,66.358477
-725.6735,92,66.51823
-337.502728,120,66.746081
-720.901208,82,66.883644
-580.554394,121,67.120637
-852.062558,94,67.296127
-531.439775,127,67.54584
-877.388349,92,67.714274
-348.367343,109,67.926904
-770.605887,88,68.086414
-527.416967,154,68.404309
-118.749124,105,68.610367
-559.874091,133,68.873299
-590.073528,115,69.103016
-481.173541,111,69.327454
-643.324434,122,69.565825
-346.986049,114,69.786766
-429.499945,118,70.034127
-319.074099,81,70.193571
-470.728085,73,70.338209
-510.283325,75,70.478271
-446.757195,88,70.648017
-608.243069,78,70.802918
-1071.223683,108,71.002588
-958.08215,97,71.183085
-231.030252,93,71.365016
-523.378136,158,71.671808
-756.31732,87,71.833638
-461.833777,90,71.99763
-408.438805,94,72.178761
-153.296628,121,72.412746
-275.734922,114,72.623701
-124.194524,110,72.836764
-388.674075,136,73.102744
-547.439388,136,73.366495
-84.368363,124,73.615072
-358.433564,82,73.777063
-273.653688,99,73.964266
-507.433087,85,74.12437
-177.719118,100,74.319975
-318.90838,143,74.599179
-497.718429,120,74.838319
-855.974042,101,75.019128
-142.969133,107,75.220091
-423.58262,86,75.386269
-226.18384,121,75.608768
-449.428146,117,75.836982
-878.69666,142,76.104478
-391.249784,95,76.275963
-681.065253,84,76.417534
-249.098404,130,76.659493
-422.457215,112,76.872799
-758.433338,130,77.125407
-581.332782,93,77.291605
-1286.930929,204,77.722585
-235.405719,108,77.927012
-489.11779,118,78.151996
-536.37592,115,78.379364
-486.924645,94,78.540011
-519.307854,97,78.711991
-372.701945,103,78.903694
-445.573442,65,79.018616
-726.443405,90,79.184068
-267.914281,139,79.452444
-460.511147,93,79.612551
-234.612307,124,79.834222
-309.414612,123,80.060524
-136.91273,102,80.271775
-454.714383,92,80.431736
-294.775169,68,80.558599
-144.918729,114,80.779962
-313.823212,123,81.014421
-75.464505,168,81.352347
-217.605531,112,81.575243
-475.548709,144,81.852561
-68.989843,90,82.031616
-72.200747,104,82.235662
-131.466085,115,82.459701
-441.426597,199,82.894033
-388.525522,125,83.139335
-109.537506,148,83.434028
-313.155301,112,83.65135
-452.261193,122,83.892872
-147.170525,89,84.063822
-250.566394,69,84.194888
-112.59416,93,84.371495
-324.093692,67,84.499612
-97.737324,119,84.734342
-186.220679,230,85.264899
-27.709664,105,85.465017
-469.330675,117,85.699957
-170.235326,89,85.870373
-405.399464,160,86.1975
-351.312599,157,86.524218
-307.791011,127,86.779216
-26.550497,104,86.980736
-226.844839,120,87.220217
-432.305803,138,87.501346
-300.640285,122,87.742897
-551.647167,170,88.085373
-488.643269,125,88.320679
-299.582072,172,88.66958
-191.714299,145,88.95741
-282.550232,112,89.180697
-317.391941,120,89.427389
-114.910985,140,89.713085
-99.479566,133,89.975544
-215.858324,116,90.204222
-251.43281,148,90.495915
-139.853507,100,90.694558
-367.112388,215,91.16877
-212.39255,129,91.428954
-113.503352,104,91.622532
-274.376771,124,91.85789
-205.640744,91,92.024837
-259.076616,126,92.261025
-131.485966,141,92.532839
-431.805001,209,92.958646
-439.529344,125,93.200834
-266.27538,95,93.386107
-247.358179,111,93.604569
-77.698647,111,93.817667
-379.99485,137,94.084556
-134.943426,98,94.281141
-365.08309,96,94.458171
-210.771421,100,94.649615
-355.983166,159,94.972617
-312.261065,94,95.151657
-378.202403,110,95.362287
-282.038461,92,95.541251
-515.965774,127,95.785084
-614.855817,133,96.034337
-544.631941,132,96.30044
-68.822553,101,96.494236
-438.100468,128,96.746368
-148.711647,119,96.972462
-313.94454,121,97.200607
-283.195414,150,97.500667
-409.589775,116,97.72501
-237.753996,124,97.960463
-556.631727,123,98.196475
-494.324167,138,98.470566
-281.779156,77,98.612374
-313.62792,145,98.901439
-530.183687,124,99.145822
-502.9175,131,99.408776
-333.944452,122,99.653073
-576.082118,141,99.933255
-80.409912,119,100.165954
-480.385305,177,100.504266
-330.227029,170,100.83808
-440.127355,148,101.114104
-44.752496,99,101.300862
-355.863171,88,101.456196
-519.648189,136,101.714959
-448.958566,85,101.861796
-297.74432,105,102.054349
-406.65183,123,102.279386
-602.511515,93,102.438342
-555.654578,89,102.595206
-367.230955,116,102.809949
-131.433189,99,102.989727
-658.444344,88,103.143082
-231.180296,127,103.37864
-500.24217,106,103.564089
-353.47775,93,103.729935
-594.715758,143,104.010536
-564.518074,123,104.253955
-563.348568,123,104.489807
-610.0006,139,104.763344
-524.19852,133,105.028153
-253.115415,112,105.249755
-380.705315,107,105.445894
-435.607849,135,105.703502
-376.931431,96,105.872445
-433.278806,139,106.130353
-454.682705,129,106.377795
-229.748903,107,106.575539
-157.846813,106,106.771118
-385.257455,159,107.084669
-139.694792,100,107.26605
-457.703515,183,107.631525
-262.89957,105,107.82785
-135.900037,149,108.108849
-250.781811,140,108.373623
-134.220467,151,108.666352
-196.276303,103,108.856668
-13.737412,92,109.040974
-560.739377,173,109.388507
-389.270973,175,109.7444
-86.881014,103,109.938924
-395.969238,152,110.239124
-113.476381,166,110.552997
-390.162783,121,110.777268
-205.601505,150,111.056991
-206.710192,232,111.562412
-252.513297,117,111.779988
-246.186753,120,112.002748
-278.266501,117,112.226726
-145.218886,199,112.633107
-69.566559,105,112.82693
-127.517534,196,113.235643
-317.654794,126,113.48408
-403.999515,176,113.83364
-307.884851,139,114.130172
-401.106469,198,114.555495
-461.194636,139,114.839656
-317.417456,177,115.214705
-465.818732,168,115.561615
-518.567469,139,115.839267
-412.946666,138,116.115682
-374.013009,160,116.427522
-482.794679,202,116.863938
-268.867815,120,117.107267
-338.662431,129,117.355524
-75.121605,116,117.58332
-446.709895,138,117.856954
-160.973133,154,118.162294
-412.49378,132,118.418598
-229.000067,117,118.651148
-340.632381,164,118.999854
-221.424543,196,119.43538
-395.856317,133,119.711142
-98.028039,178,120.101377
